"practid"	"region"	"lcd"	"uts"	"imd_5"
"1"	1	5	2014-06-30	1998-01-01	5
"2"	2	12	2013-01-27	1999-08-01	2
"3"	3	4	2014-06-30	1998-01-01	1
"4"	4	1	2014-06-30	1998-10-12	5
"5"	5	7	2014-06-30	1998-01-01	3
"6"	6	11	2014-06-30	1999-09-02	5
"7"	7	9	2014-06-30	1998-01-01	3
"8"	8	5	2014-06-30	1998-12-30	3
"9"	9	10	2014-06-30	1998-01-01	2
"10"	10	11	2014-06-30	1998-01-01	2
"11"	11	8	2014-06-30	1998-01-01	3
"12"	12	12	2014-06-30	1998-01-01	5
"13"	13	4	2014-06-30	1999-05-06	5
"14"	14	2	2014-06-30	1998-11-03	5
"15"	15	12	2013-01-18	1998-09-05	2
"16"	16	10	2014-06-30	1998-01-01	1
"17"	17	4	2014-06-30	1998-01-01	1
"18"	18	1	2014-06-30	1998-01-01	4
"19"	19	12	2014-06-30	1998-01-01	5
"20"	20	9	2014-06-30	1998-01-01	3
"21"	21	8	2014-06-30	1998-01-01	5
"22"	22	9	2014-06-30	1998-01-01	4
"23"	23	11	2014-06-30	1999-02-07	3
"24"	24	1	2014-06-30	1998-01-01	5
"25"	25	4	2014-06-30	1998-01-01	4
"26"	26	5	2014-06-30	1998-01-01	2
"27"	27	7	2013-09-07	1998-08-08	2
"28"	28	1	2014-06-30	1998-01-01	4
"29"	29	7	2014-06-30	1998-01-01	2
"30"	30	1	2014-06-30	1998-01-07	1
"31"	31	12	2014-06-30	1998-08-09	1
"32"	32	1	2014-06-30	1998-12-10	4
"33"	33	7	2012-08-22	1998-11-10	3
"34"	34	10	2014-06-30	1998-04-13	3
"35"	35	4	2014-06-30	1998-01-01	4
"36"	36	2	2014-06-30	1998-01-05	1
"37"	37	12	2014-06-30	1998-06-03	4
"38"	38	6	2014-06-30	1998-01-01	1
"39"	39	6	2014-06-30	1998-01-01	1
"40"	40	11	2013-01-11	1998-01-01	2
"41"	41	7	2014-06-30	1999-12-30	2
"42"	42	9	2014-06-30	1999-11-19	5
"43"	43	1	2014-06-30	1998-01-01	1
"44"	44	1	2014-06-30	1999-07-13	3
"45"	45	1	2014-06-30	1998-10-31	4
"46"	46	12	2014-06-30	1998-01-01	3
"47"	47	6	2014-06-30	1998-01-01	3
"48"	48	5	2014-06-30	1998-01-01	1
"49"	49	7	2014-06-30	1998-01-01	4
"50"	50	9	2014-06-30	1998-01-01	3
"51"	51	6	2014-06-30	1998-01-01	1
"52"	52	6	2014-06-30	1999-01-11	1
"53"	53	10	2014-06-30	1999-03-07	2
"54"	54	13	2014-06-30	1998-01-01	1
"55"	55	13	2014-06-30	1999-05-01	2
"56"	56	2	2014-06-30	1998-01-01	5
"57"	57	9	2014-06-30	1999-08-21	5
"58"	58	12	2014-05-05	1998-01-01	5
"59"	59	12	2014-06-30	1998-01-01	3
"60"	60	6	2014-06-30	1998-01-01	3
"61"	61	1	2014-06-30	1998-06-30	3
"62"	62	6	2014-06-30	1998-01-01	2
"63"	63	4	2014-06-30	1998-06-11	5
"64"	64	12	2014-06-30	1999-04-04	1
"65"	65	11	2012-09-17	1999-09-14	1
"66"	66	5	2014-06-30	1999-12-25	3
"67"	67	5	2014-06-30	1998-01-01	5
"68"	68	3	2014-06-30	1998-01-01	3
"69"	69	12	2014-06-30	1999-12-19	5
"70"	70	9	2014-06-30	1998-01-01	5
"71"	71	9	2014-06-30	1998-01-01	4
"72"	72	6	2014-06-30	1998-01-01	5
"73"	73	12	2014-06-30	1999-08-01	5
"74"	74	10	2014-06-30	1998-01-01	5
"75"	75	8	2014-06-30	1998-01-01	3
"76"	76	8	2014-06-30	1999-01-10	5
"77"	77	13	2014-06-30	1999-05-19	5
"78"	78	3	2014-06-30	1998-01-01	3
"79"	79	8	2014-06-30	1998-01-01	1
"80"	80	6	2012-07-16	1998-01-01	2
"81"	81	6	2014-06-10	1998-01-01	4
"82"	82	13	2014-06-30	1998-01-01	1
"83"	83	10	2014-06-30	1998-01-01	2
"84"	84	2	2014-06-30	1998-01-01	4
"85"	85	12	2014-06-30	1998-01-01	4
"86"	86	5	2014-06-30	1998-01-01	1
"87"	87	7	2014-06-30	1998-01-01	4
"88"	88	1	2014-06-30	1999-03-30	3
"89"	89	12	2014-06-30	1999-04-18	3
"90"	90	1	2014-06-30	1998-01-01	4
"91"	91	5	2014-06-30	1999-04-16	2
"92"	92	2	2014-06-30	1998-01-01	4
"93"	93	5	2014-06-30	1998-01-01	4
"94"	94	4	2014-06-30	1998-07-27	2
"95"	95	7	2014-06-30	1998-06-02	1
"96"	96	12	2014-06-30	1999-06-25	5
"97"	97	11	2014-06-30	1998-10-30	1
"98"	98	13	2014-06-30	1998-11-15	3
"99"	99	9	2014-06-30	1998-01-01	2
"100"	100	8	2014-06-30	1999-03-16	5
